From Bank,To Bank,Enterprise,Infra,Budget,Legacy,Deployment,Sender Algo,Receiver Algo,HW_Base,HW_Budget,HW_Infra
ICICI,ICICI,big,new,High,Present,Same server,PQC-Kyber/Falcon,PQC-Kyber/Falcon,Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
ICICI,ICICI,big,new,High,Absent,Same server,PQC-Kyber/Falcon,PQC-Kyber/Falcon,Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
ICICI,ICICI,big,new,Medium,Present,Same server,PQC-Kyber/Falcon,PQC-Kyber/Falcon,Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
ICICI,ICICI,big,new,Medium,Absent,Same server,PQC-Kyber/Falcon,PQC-Kyber/Falcon,Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
ICICI,ICICI,big,new,Low,Present,Same server,PQC-Kyber/Falcon,PQC-Kyber/Falcon,Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
ICICI,ICICI,big,new,Low,Absent,Same server,PQC-Kyber/Falcon,PQC-Kyber/Falcon,Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
ICICI,HDFC,big,new,High,Present,Different servers,PQC-Kyber/Falcon,Hybrid-Kyber+RSA (upgraded),Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
ICICI,HDFC,big,new,High,Absent,Different servers,PQC-Kyber/Falcon,Hybrid-Kyber+RSA (upgraded),Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
ICICI,HDFC,big,new,Medium,Present,Different servers,PQC-Kyber/Falcon,Hybrid-Kyber+RSA (upgraded),Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
ICICI,HDFC,big,new,Medium,Absent,Different servers,PQC-Kyber/Falcon,Hybrid-Kyber+RSA (upgraded),Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
ICICI,HDFC,big,new,Low,Present,Different servers,PQC-Kyber/Falcon,Hybrid-Kyber+RSA (upgraded),Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
ICICI,HDFC,big,new,Low,Absent,Different servers,PQC-Kyber/Falcon,Hybrid-Kyber+RSA (upgraded),Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
ICICI,SBI,big,new,High,Present,Different servers,PQC-Kyber/Falcon,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
ICICI,SBI,big,new,High,Absent,Different servers,PQC-Kyber/Falcon,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
ICICI,SBI,big,new,Medium,Present,Different servers,PQC-Kyber/Falcon,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
ICICI,SBI,big,new,Medium,Absent,Different servers,PQC-Kyber/Falcon,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
ICICI,SBI,big,new,Low,Present,Different servers,PQC-Kyber/Falcon,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
ICICI,SBI,big,new,Low,Absent,Different servers,PQC-Kyber/Falcon,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
ICICI,Saraswat,big,new,High,Present,Different servers,PQC-Kyber/Falcon,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
ICICI,Saraswat,big,new,High,Absent,Different servers,PQC-Kyber/Falcon,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
ICICI,Saraswat,big,new,Medium,Present,Different servers,PQC-Kyber/Falcon,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
ICICI,Saraswat,big,new,Medium,Absent,Different servers,PQC-Kyber/Falcon,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
ICICI,Saraswat,big,new,Low,Present,Different servers,PQC-Kyber/Falcon,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
ICICI,Saraswat,big,new,Low,Absent,Different servers,PQC-Kyber/Falcon,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
HDFC,ICICI,big,mid,High,Present,Different servers,Hybrid-Kyber+RSA,PQC-Kyber/Falcon (downgraded),Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy moderate hybrid acceleration
HDFC,ICICI,big,mid,High,Absent,Different servers,Hybrid-Kyber+RSA,PQC-Kyber/Falcon (downgraded),Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy moderate hybrid acceleration
HDFC,ICICI,big,mid,Medium,Present,Different servers,Hybrid-Kyber+RSA,PQC-Kyber/Falcon (downgraded),Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy moderate hybrid acceleration
HDFC,ICICI,big,mid,Medium,Absent,Different servers,Hybrid-Kyber+RSA,PQC-Kyber/Falcon (downgraded),Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy moderate hybrid acceleration
HDFC,ICICI,big,mid,Low,Present,Different servers,Hybrid-Kyber+RSA,PQC-Kyber/Falcon (downgraded),Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy moderate hybrid acceleration
HDFC,ICICI,big,mid,Low,Absent,Different servers,Hybrid-Kyber+RSA,PQC-Kyber/Falcon (downgraded),Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy moderate hybrid acceleration
HDFC,HDFC,big,mid,High,Present,Same server,Hybrid-Kyber+RSA,Hybrid-Kyber+RSA,Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy moderate hybrid acceleration
HDFC,HDFC,big,mid,High,Absent,Same server,Hybrid-Kyber+RSA,Hybrid-Kyber+RSA,Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy moderate hybrid acceleration
HDFC,HDFC,big,mid,Medium,Present,Same server,Hybrid-Kyber+RSA,Hybrid-Kyber+RSA,Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy moderate hybrid acceleration
HDFC,HDFC,big,mid,Medium,Absent,Same server,Hybrid-Kyber+RSA,Hybrid-Kyber+RSA,Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy moderate hybrid acceleration
HDFC,HDFC,big,mid,Low,Present,Same server,Hybrid-Kyber+RSA,Hybrid-Kyber+RSA,Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy moderate hybrid acceleration
HDFC,HDFC,big,mid,Low,Absent,Same server,Hybrid-Kyber+RSA,Hybrid-Kyber+RSA,Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy moderate hybrid acceleration
HDFC,SBI,big,mid,High,Present,Different servers,Hybrid-Kyber+RSA,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy moderate hybrid acceleration
HDFC,SBI,big,mid,High,Absent,Different servers,Hybrid-Kyber+RSA,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy moderate hybrid acceleration
HDFC,SBI,big,mid,Medium,Present,Different servers,Hybrid-Kyber+RSA,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy moderate hybrid acceleration
HDFC,SBI,big,mid,Medium,Absent,Different servers,Hybrid-Kyber+RSA,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy moderate hybrid acceleration
HDFC,SBI,big,mid,Low,Present,Different servers,Hybrid-Kyber+RSA,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy moderate hybrid acceleration
HDFC,SBI,big,mid,Low,Absent,Different servers,Hybrid-Kyber+RSA,Classical-RSA/AES (upgraded),Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy moderate hybrid acceleration
HDFC,Saraswat,big,mid,High,Present,Different servers,Hybrid-Kyber+RSA,Classical-RSA/AES,Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy moderate hybrid acceleration
HDFC,Saraswat,big,mid,High,Absent,Different servers,Hybrid-Kyber+RSA,Classical-RSA/AES,Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Can deploy moderate hybrid acceleration
HDFC,Saraswat,big,mid,Medium,Present,Different servers,Hybrid-Kyber+RSA,Classical-RSA/AES,Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy moderate hybrid acceleration
HDFC,Saraswat,big,mid,Medium,Absent,Different servers,Hybrid-Kyber+RSA,Classical-RSA/AES,Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Can deploy moderate hybrid acceleration
HDFC,Saraswat,big,mid,Low,Present,Different servers,Hybrid-Kyber+RSA,Classical-RSA/AES,Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy moderate hybrid acceleration
HDFC,Saraswat,big,mid,Low,Absent,Different servers,Hybrid-Kyber+RSA,Classical-RSA/AES,Mid-tier FPGA + CPU combo,Low-cost CPU only,Can deploy moderate hybrid acceleration
SBI,ICICI,big,old,High,Present,Different servers,Classical-RSA/AES,PQC-Kyber/Falcon (downgraded),Commodity CPU / Software-optimized node,Enterprise HSM + FPGA,Restricted to CPU-only or limited FPGA support
SBI,ICICI,big,old,High,Absent,Different servers,Classical-RSA/AES,PQC-Kyber/Falcon (downgraded),Commodity CPU / Software-optimized node,Enterprise HSM + FPGA,Restricted to CPU-only or limited FPGA support
SBI,ICICI,big,old,Medium,Present,Different servers,Classical-RSA/AES,PQC-Kyber/Falcon (downgraded),Commodity CPU / Software-optimized node,Shared FPGA + CPU cluster,Restricted to CPU-only or limited FPGA support
SBI,ICICI,big,old,Medium,Absent,Different servers,Classical-RSA/AES,PQC-Kyber/Falcon (downgraded),Commodity CPU / Software-optimized node,Shared FPGA + CPU cluster,Restricted to CPU-only or limited FPGA support
SBI,ICICI,big,old,Low,Present,Different servers,Classical-RSA/AES,PQC-Kyber/Falcon (downgraded),Commodity CPU / Software-optimized node,Low-cost CPU only,Restricted to CPU-only or limited FPGA support
SBI,ICICI,big,old,Low,Absent,Different servers,Classical-RSA/AES,PQC-Kyber/Falcon (downgraded),Commodity CPU / Software-optimized node,Low-cost CPU only,Restricted to CPU-only or limited FPGA support
SBI,HDFC,big,old,High,Present,Different servers,Classical-RSA/AES,Hybrid-Kyber+RSA (downgraded),Commodity CPU / Software-optimized node,Enterprise HSM + FPGA,Restricted to CPU-only or limited FPGA support
SBI,HDFC,big,old,High,Absent,Different servers,Classical-RSA/AES,Hybrid-Kyber+RSA (downgraded),Commodity CPU / Software-optimized node,Enterprise HSM + FPGA,Restricted to CPU-only or limited FPGA support
SBI,HDFC,big,old,Medium,Present,Different servers,Classical-RSA/AES,Hybrid-Kyber+RSA (downgraded),Commodity CPU / Software-optimized node,Shared FPGA + CPU cluster,Restricted to CPU-only or limited FPGA support
SBI,HDFC,big,old,Medium,Absent,Different servers,Classical-RSA/AES,Hybrid-Kyber+RSA (downgraded),Commodity CPU / Software-optimized node,Shared FPGA + CPU cluster,Restricted to CPU-only or limited FPGA support
SBI,HDFC,big,old,Low,Present,Different servers,Classical-RSA/AES,Hybrid-Kyber+RSA (downgraded),Commodity CPU / Software-optimized node,Low-cost CPU only,Restricted to CPU-only or limited FPGA support
SBI,HDFC,big,old,Low,Absent,Different servers,Classical-RSA/AES,Hybrid-Kyber+RSA (downgraded),Commodity CPU / Software-optimized node,Low-cost CPU only,Restricted to CPU-only or limited FPGA support
SBI,SBI,big,old,High,Present,Same server,Classical-RSA/AES,Classical-RSA/AES,Commodity CPU / Software-optimized node,Enterprise HSM + FPGA,Restricted to CPU-only or limited FPGA support
SBI,SBI,big,old,High,Absent,Same server,Classical-RSA/AES,Classical-RSA/AES,Commodity CPU / Software-optimized node,Enterprise HSM + FPGA,Restricted to CPU-only or limited FPGA support
SBI,SBI,big,old,Medium,Present,Same server,Classical-RSA/AES,Classical-RSA/AES,Commodity CPU / Software-optimized node,Shared FPGA + CPU cluster,Restricted to CPU-only or limited FPGA support
SBI,SBI,big,old,Medium,Absent,Same server,Classical-RSA/AES,Classical-RSA/AES,Commodity CPU / Software-optimized node,Shared FPGA + CPU cluster,Restricted to CPU-only or limited FPGA support
SBI,SBI,big,old,Low,Present,Same server,Classical-RSA/AES,Classical-RSA/AES,Commodity CPU / Software-optimized node,Low-cost CPU only,Restricted to CPU-only or limited FPGA support
SBI,SBI,big,old,Low,Absent,Same server,Classical-RSA/AES,Classical-RSA/AES,Commodity CPU / Software-optimized node,Low-cost CPU only,Restricted to CPU-only or limited FPGA support
SBI,Saraswat,big,old,High,Present,Different servers,Classical-RSA/AES,Classical-RSA/AES (downgraded),Commodity CPU / Software-optimized node,Enterprise HSM + FPGA,Restricted to CPU-only or limited FPGA support
SBI,Saraswat,big,old,High,Absent,Different servers,Classical-RSA/AES,Classical-RSA/AES (downgraded),Commodity CPU / Software-optimized node,Enterprise HSM + FPGA,Restricted to CPU-only or limited FPGA support
SBI,Saraswat,big,old,Medium,Present,Different servers,Classical-RSA/AES,Classical-RSA/AES (downgraded),Commodity CPU / Software-optimized node,Shared FPGA + CPU cluster,Restricted to CPU-only or limited FPGA support
SBI,Saraswat,big,old,Medium,Absent,Different servers,Classical-RSA/AES,Classical-RSA/AES (downgraded),Commodity CPU / Software-optimized node,Shared FPGA + CPU cluster,Restricted to CPU-only or limited FPGA support
SBI,Saraswat,big,old,Low,Present,Different servers,Classical-RSA/AES,Classical-RSA/AES (downgraded),Commodity CPU / Software-optimized node,Low-cost CPU only,Restricted to CPU-only or limited FPGA support
SBI,Saraswat,big,old,Low,Absent,Different servers,Classical-RSA/AES,Classical-RSA/AES (downgraded),Commodity CPU / Software-optimized node,Low-cost CPU only,Restricted to CPU-only or limited FPGA support
Saraswat,ICICI,small,latest,High,Present,Different servers,Classical-RSA/AES,PQC-Kyber/Falcon (downgraded),Commodity CPU / Software-optimized node,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
Saraswat,ICICI,small,latest,High,Absent,Different servers,Classical-RSA/AES,PQC-Kyber/Falcon (downgraded),Commodity CPU / Software-optimized node,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
Saraswat,ICICI,small,latest,Medium,Present,Different servers,Classical-RSA/AES,PQC-Kyber/Falcon (downgraded),Commodity CPU / Software-optimized node,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
Saraswat,ICICI,small,latest,Medium,Absent,Different servers,Classical-RSA/AES,PQC-Kyber/Falcon (downgraded),Commodity CPU / Software-optimized node,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
Saraswat,ICICI,small,latest,Low,Present,Different servers,Classical-RSA/AES,PQC-Kyber/Falcon (downgraded),Commodity CPU / Software-optimized node,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
Saraswat,ICICI,small,latest,Low,Absent,Different servers,Classical-RSA/AES,PQC-Kyber/Falcon (downgraded),Commodity CPU / Software-optimized node,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
Saraswat,HDFC,small,latest,High,Present,Different servers,Classical-RSA/AES,Hybrid-Kyber+RSA,Commodity CPU / Software-optimized node,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
Saraswat,HDFC,small,latest,High,Absent,Different servers,Classical-RSA/AES,Hybrid-Kyber+RSA,Commodity CPU / Software-optimized node,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
Saraswat,HDFC,small,latest,Medium,Present,Different servers,Classical-RSA/AES,Hybrid-Kyber+RSA,Commodity CPU / Software-optimized node,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
Saraswat,HDFC,small,latest,Medium,Absent,Different servers,Classical-RSA/AES,Hybrid-Kyber+RSA,Commodity CPU / Software-optimized node,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
Saraswat,HDFC,small,latest,Low,Present,Different servers,Classical-RSA/AES,Hybrid-Kyber+RSA,Commodity CPU / Software-optimized node,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
Saraswat,HDFC,small,latest,Low,Absent,Different servers,Classical-RSA/AES,Hybrid-Kyber+RSA,Commodity CPU / Software-optimized node,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
Saraswat,SBI,small,latest,High,Present,Different servers,Classical-RSA/AES,Classical-RSA/AES (upgraded),Commodity CPU / Software-optimized node,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
Saraswat,SBI,small,latest,High,Absent,Different servers,Classical-RSA/AES,Classical-RSA/AES (upgraded),Commodity CPU / Software-optimized node,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
Saraswat,SBI,small,latest,Medium,Present,Different servers,Classical-RSA/AES,Classical-RSA/AES (upgraded),Commodity CPU / Software-optimized node,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
Saraswat,SBI,small,latest,Medium,Absent,Different servers,Classical-RSA/AES,Classical-RSA/AES (upgraded),Commodity CPU / Software-optimized node,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
Saraswat,SBI,small,latest,Low,Present,Different servers,Classical-RSA/AES,Classical-RSA/AES (upgraded),Commodity CPU / Software-optimized node,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
Saraswat,SBI,small,latest,Low,Absent,Different servers,Classical-RSA/AES,Classical-RSA/AES (upgraded),Commodity CPU / Software-optimized node,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
Saraswat,Saraswat,small,latest,High,Present,Same server,Classical-RSA/AES,Classical-RSA/AES,Commodity CPU / Software-optimized node,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
Saraswat,Saraswat,small,latest,High,Absent,Same server,Classical-RSA/AES,Classical-RSA/AES,Commodity CPU / Software-optimized node,Enterprise HSM + FPGA,Can deploy distributed/accelerated crypto nodes
Saraswat,Saraswat,small,latest,Medium,Present,Same server,Classical-RSA/AES,Classical-RSA/AES,Commodity CPU / Software-optimized node,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
Saraswat,Saraswat,small,latest,Medium,Absent,Same server,Classical-RSA/AES,Classical-RSA/AES,Commodity CPU / Software-optimized node,Shared FPGA + CPU cluster,Can deploy distributed/accelerated crypto nodes
Saraswat,Saraswat,small,latest,Low,Present,Same server,Classical-RSA/AES,Classical-RSA/AES,Commodity CPU / Software-optimized node,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
Saraswat,Saraswat,small,latest,Low,Absent,Same server,Classical-RSA/AES,Classical-RSA/AES,Commodity CPU / Software-optimized node,Low-cost CPU only,Can deploy distributed/accelerated crypto nodes
