Design,Algorithm,pk+sig (KB),Max Freq (MHz),LUT,FF,DSP,BRAM,Keygen cycles,Verify μs,Sign μs,Family,Design_num,Algorithm_num,Max Freq (MHz)_num,LUT_num,FF_num,DSP_num,BRAM_num,Keygen cycles_num,Sign μs_num,Family_num,Algorithm_key,MaxFreq_MHz,SIGN_us_hw,VERIFY_us_hw,KEYGEN_cycles_hw,PKSIG_KB,hw_latency_s,resource_penalty
Artix-7,SPHINCS+-128s-simple,8.1,250 & 500,48231.0,72514,0.0,11.5,,0.07,12.4,,-7.0,,375.0,48231.0,72514.0,0.0,11.5,,12.4,,sphincs128ssimple,375.0,-7.0,0.07,,8.1,-6.93e-06,4.8806
Artix-7,SPHINCS+-128s-robust,8.1,250 & 500,49146.0,73069,0.0,15.5,,0.11,21.1,,-7.0,,375.0,49146.0,73069.0,0.0,15.5,,21.1,,sphincs128srobust,375.0,-7.0,0.11,,8.1,-6.89e-06,4.9921
Artix-7,SPHINCS+-128f-simple,17.0,250 & 500,47991.0,72505,1.0,11.5,,0.16,1.01,,-7.0,,375.0,47991.0,72505.0,1.0,11.5,,1.01,,sphincs128fsimple,375.0,-7.0,0.16,,17.0,-6.84e-06,4.8576
Artix-7,SPHINCS+-128f-robust,17.0,250 & 500,48930.0,73002,1.0,15.5,,0.23,1.64,,-7.0,,375.0,48930.0,73002.0,1.0,15.5,,1.64,,sphincs128frobust,375.0,-7.0,0.23,,17.0,-6.7699999999999996e-06,4.9715
Artix-7,SPHINCS+-192s-simple,17.1,250 & 500,48725.0,72514,0.0,17.0,,0.1,21.4,,-7.0,,375.0,48725.0,72514.0,0.0,17.0,,21.4,,sphincs192ssimple,375.0,-7.0,0.1,,17.1,-6.9e-06,4.9575
Artix-7,SPHINCS+-192s-robust,17.1,250 & 500,50064.0,74462,0.0,22.5,,0.15,38.3,,-7.0,,375.0,50064.0,74462.0,0.0,22.5,,38.3,,sphincs192srobust,375.0,-7.0,0.15,,17.1,-6.85e-06,5.1189
Artix-7,SPHINCS+-192f-simple,35.7,250 & 500,48398.0,73476,1.0,17.0,,0.19,1.17,,-7.0,,375.0,48398.0,73476.0,1.0,17.0,,1.17,,sphincs192fsimple,375.0,-7.0,0.19,,35.7,-6.81e-06,4.9258
Artix-7,SPHINCS+-192f-robust,35.7,250 & 500,47227.0,74279,1.0,22.5,,0.31,2.12,,-7.0,,375.0,47227.0,74279.0,1.0,22.5,,2.12,,sphincs192frobust,375.0,-7.0,0.31,,35.7,-6.69e-06,4.8362
Artix-7,SPHINCS+-256s-simple,29.8,250 & 500,51130.0,74576,0.0,22.5,,0.14,19.3,,-7.0,,375.0,51130.0,74576.0,0.0,22.5,,19.3,,sphincs256ssimple,375.0,-7.0,0.14,,29.8,-6.86e-06,5.2255
Artix-7,SPHINCS+-256s-robust,29.8,250 & 500,50070.0,75738,1.0,30.0,,0.2,36.1,,-7.0,,375.0,50070.0,75738.0,1.0,30.0,,36.1,,sphincs256srobust,375.0,-7.0,0.2,,29.8,-6.8e-06,5.158
Artix-7,SPHINCS+-256f-simple,49.2,250 & 500,51009.0,74539,1.0,22.5,,0.21,2.52,,-7.0,,375.0,51009.0,74539.0,1.0,22.5,,2.52,,sphincs256fsimple,375.0,-7.0,0.21,,49.2,-6.79e-06,5.2144
Artix-7,SPHINCS+-256f-robust,49.2,250 & 500,50341.0,75664,1.0,30.0,,0.34,4.68,,-7.0,,375.0,50341.0,75664.0,1.0,30.0,,4.68,,sphincs256frobust,375.0,-7.0,0.34,,49.2,-6.66e-06,5.1851
Kintex-7,SPHINCS-256,41.0,525,19067.0,38132,3.0,36.0,,0.07,1.53,,,-256.0,525.0,19067.0,38132.0,3.0,36.0,,1.53,,sphincs256,525.0,,0.07,,41.0,7e-08,2.0897
Cyclone V,XMSS-2^16 SHA-256,2.7,93.1,6500.0,9540,0.0,145.0,,5.8,9.95,,,-236.0,93.1,6500.0,9540.0,0.0,145.0,,9.95,,xmss216sha256,93.1,,5.8,,2.7,5.7999999999999995e-06,1.375
Kintex-7,Picnic-L1-FS,34.0,125,90037.0,23105,0.0,52.5,,0.24,0.25,,,,125.0,90037.0,23105.0,0.0,52.5,,0.25,,picnicl1fs,125.0,,0.24,,34.0,2.4e-07,9.2662
Kintex-7,Picnic-L5-FS,133.0,125,167530.0,33164,0.0,98.5,,1.17,1.24,,,,125.0,167530.0,33164.0,0.0,98.5,,1.24,,picnicl5fs,125.0,,1.17,,133.0,1.17e-06,17.2455
Artix-7,qTESLA-p-I,2.6,121,,ca. 2440 slices,,,,7.8,34.4,,-7.0,,121.0,,2440.0,,,,34.4,,qteslapi,121.0,-7.0,7.8,,2.6,7.999999999999999e-07,0.0
Artix-7,qTESLA-p-III,5.7,121,,ca. 2470 slices,,,,19.1,63.9,,-7.0,,121.0,,2470.0,,,,63.9,,qteslapiii,121.0,-7.0,19.1,,5.7,1.2100000000000001e-05,0.0
TW,FALCON-512,1.5,142,14500.0,7287,4.0,2.0,-,16.8,-,A7,,-512.0,142.0,14500.0,7287.0,4.0,2.0,,,7.0,falcon512,142.0,,16.8,,1.5,1.6800000000000002e-05,1.464
[13],SPHINCS+-128s-simple,7.9,250 & 500^3,48231.0,72514,0.0,11.5,-,70.0,12400,A7,13.0,,2626.5,48231.0,72514.0,0.0,11.5,,12400.0,7.0,sphincs128ssimple,2626.5,13.0,70.0,,7.9,8.3e-05,4.8806
[13],SPHINCS+-128s-robust,7.9,250 & 500^3,49146.0,73069,0.0,15.5,-,160.0,21100,A7,13.0,,2626.5,49146.0,73069.0,0.0,15.5,,21100.0,7.0,sphincs128srobust,2626.5,13.0,160.0,,7.9,0.000173,4.9921
[13],SPHINCS+-128f-simple,17.1,250 & 500^3,47991.0,72505,1.0,11.5,-,120.0,1010,A7,13.0,,2626.5,47991.0,72505.0,1.0,11.5,,1010.0,7.0,sphincs128fsimple,2626.5,13.0,120.0,,17.1,0.000133,4.8576
[13],SPHINCS+-128f-robust,17.1,250 & 500^3,48930.0,73002,1.0,15.5,-,230.0,1640,A7,13.0,,2626.5,48930.0,73002.0,1.0,15.5,,1640.0,7.0,sphincs128frobust,2626.5,13.0,230.0,,17.1,0.000243,4.9715
[12],Picnic-L1-FS,34.0,125,90535.0,23516,0.0,52.5,-,29269.0,2737,K7,12.0,,125.0,90535.0,23516.0,0.0,52.5,,2737.0,7.0,picnicl1fs,125.0,12.0,29269.0,,34.0,0.029281,9.316
TW,Dilithium-II,3.2,314,14327.0,7314,,,12600,10546.0,18338,VUS+,,,314.0,14327.0,7314.0,,,12600.0,18338.0,,dilithiumii,314.0,,10546.0,12600.0,3.2,4.012738853503185e-05,1.4327
[16],Dilithium-II,3.7,96.9,53187.0,28318,16.0,29.0,4875,6582.0,10945,A7,16.0,,96.9,53187.0,28318.0,16.0,29.0,4875.0,10945.0,7.0,dilithiumii,96.9,16.0,6582.0,4875.0,3.7,5.0309597523219816e-05,5.4797
[6],Dilithium-II,3.7,163,27433.0,10681,45.0,45.0,18761,19687.0,20597,A7,6.0,,163.0,27433.0,10681.0,45.0,45.0,18761.0,20597.0,7.0,dilithiumii,163.0,6.0,19687.0,18761.0,3.7,0.00011509815950920245,3.0133
TW,Dilithium-II,3.7,200,53907.0,53207,,15.0,4875,11612.0,10945,VUS+,,,200.0,53907.0,53207.0,,15.0,4875.0,10945.0,,dilithiumii,200.0,,11612.0,4875.0,3.7,2.4375e-05,5.4657
[5],Dilithium-III,4.2,250/333/158,61355.666666666664,25236/86295/34368,487.6666666666667,59.333333333333336,18193,15032.0,21033,VUS+,5.0,,247.0,61355.666666666664,48633.0,487.6666666666667,59.333333333333336,18193.0,21033.0,,dilithiumiii,247.0,5.0,15032.0,18193.0,4.2,7.365587044534412e-05,6.9199
[7],Dilithium-II,3.7,200,19100.0,9300,4.0,24.0,14183,15044.0,30358,ZUS+,7.0,,200.0,19100.0,9300.0,4.0,24.0,14183.0,30358.0,,dilithiumii,200.0,7.0,15044.0,14183.0,3.7,7.0915e-05,2.034
TW,Dilithium-III,5.2,116,53187.0,28318,16.0,29.0,8291,9724.0,16178,A7,,,116.0,53187.0,28318.0,16.0,29.0,8291.0,16178.0,7.0,dilithiumiii,116.0,,9724.0,8291.0,5.2,7.147413793103449e-05,5.4797
[16],Dilithium-III,5.2,96.9,29998.0,10366,10.0,11.0,5851,6181.0,11399,A7,16.0,,96.9,29998.0,10366.0,10.0,11.0,5851.0,11399.0,7.0,dilithiumiii,96.9,16.0,6181.0,5851.0,5.2,6.038183694530444e-05,3.0648
[13],SPHINCS+-192s-simple,16.3,250 & 500^3,48725.0,72514,0.0,17.0,-,100.0,21000,A7,13.0,,2626.5,48725.0,72514.0,0.0,17.0,,21000.0,7.0,sphincs192ssimple,2626.5,13.0,100.0,,16.3,0.000113,4.9575
[13],SPHINCS+-192s-robust,16.3,250 & 500^3,50064.0,74462,0.0,22.5,-,200.0,3500,A7,13.0,,2626.5,50064.0,74462.0,0.0,22.5,,3500.0,7.0,sphincs192srobust,2626.5,13.0,200.0,,16.3,0.000213,5.1189
[13],SPHINCS+-192f-simple,35.7,250 & 500^3,48398.0,73476,1.0,17.0,-,320.0,15300,A7,13.0,,2626.5,48398.0,73476.0,1.0,17.0,,15300.0,7.0,sphincs192fsimple,2626.5,13.0,320.0,,35.7,0.000333,4.9258
[6],Dilithium-III,3.7,145,30900.0,11372,45.0,45.0,33002,32050.0,45068,VUS+,6.0,,145.0,30900.0,11372.0,45.0,45.0,33002.0,45068.0,,dilithiumiii,145.0,6.0,32050.0,33002.0,3.7,0.0002276,3.36
[13],SPHINCS+-192f-robust,35.7,250 & 500^3,47277.0,74279,1.0,22.5,-,310.0,21200,A7,13.0,,2626.5,47277.0,74279.0,1.0,22.5,,21200.0,7.0,sphincs192frobust,2626.5,13.0,310.0,,35.7,0.000323,4.8412
[13],Dilithium-II,5.1,200,53907.0,53207,,29.0,8291,9724.0,16178,VUS+,13.0,,200.0,53907.0,53207.0,,29.0,8291.0,16178.0,,dilithiumii,200.0,13.0,9724.0,8291.0,5.1,4.1455e-05,5.5357
TW,Dilithium-III,5.2,200,19100.0,9300,4.0,24.0,22957,25535.0,47418,ZUS+,,,200.0,19100.0,9300.0,4.0,24.0,22957.0,47418.0,,dilithiumiii,200.0,,25535.0,22957.0,5.2,0.000114785,2.034
[7],Dilithium-IV,5.2,200,19100.0,9300,4.0,24.0,22981,22532.0,22362,VUS+,7.0,,200.0,19100.0,9300.0,4.0,24.0,22981.0,22362.0,,dilithiumiv,200.0,7.0,22532.0,22981.0,5.2,0.000114905,2.034
[5],Dilithium-IV,5.2,200,19100.0,9300,4.0,24.0,22981,22532.0,22362,VUS+,5.0,,200.0,19100.0,9300.0,4.0,24.0,22981.0,22362.0,,dilithiumiv,200.0,5.0,22532.0,22981.0,5.2,0.000114905,2.034
TW,FALCON-1024,3.1,142,13956.0,6737,4.0,11.0,-,32.8,-,A7,,-1024.0,142.0,13956.0,6737.0,4.0,11.0,,,7.0,falcon1024,142.0,,32.8,,3.1,3.28e-05,1.4546
[16],Dilithium-V,7.2,200,53187.0,28318,16.0,29.0,14037,14642.0,24358,A7,16.0,,200.0,53187.0,28318.0,16.0,29.0,14037.0,24358.0,7.0,dilithiumv,200.0,16.0,14642.0,14037.0,7.2,7.0185e-05,5.4797
[13],SPHINCS+-256s-simple,29.8,250 & 500^3,51130.0,74576,0.0,22.5,-,100.0,19300,A7,13.0,,2626.5,51130.0,74576.0,0.0,22.5,,19300.0,7.0,sphincs256ssimple,2626.5,13.0,100.0,,29.8,0.000113,5.2255
[13],SPHINCS+-256s-robust,29.8,250 & 500^3,50000.0,75738,0.0,30.0,-,200.0,36100,A7,13.0,,2626.5,50000.0,75738.0,0.0,30.0,,36100.0,7.0,sphincs256srobust,2626.5,13.0,200.0,,29.8,0.000213,5.15
[13],SPHINCS+-256f-simple,49.9,250 & 500^3,51009.0,74539,1.0,22.5,-,320.0,30000,A7,13.0,,2626.5,51009.0,74539.0,1.0,22.5,,30000.0,7.0,sphincs256fsimple,2626.5,13.0,320.0,,49.9,0.000333,5.2144
[13],SPHINCS+-256f-robust,49.9,250 & 500^3,50341.0,75664,1.0,30.0,-,310.0,4680,A7,13.0,,2626.5,50341.0,75664.0,1.0,30.0,,4680.0,7.0,sphincs256frobust,2626.5,13.0,310.0,,49.9,0.000323,5.1851
TW,Dilithium-IV,7.2,200,54468.0,28435,16.0,29.0,14037,14642.0,24358,K7,,,200.0,54468.0,28435.0,16.0,29.0,14037.0,24358.0,7.0,dilithiumiv,200.0,,14642.0,14037.0,7.2,7.0185e-05,5.6078
[7],Dilithium-V,7.2,200,19100.0,9300,4.0,24.0,22981,45789.0,68500,ZUS+,7.0,,200.0,19100.0,9300.0,4.0,24.0,22981.0,68500.0,,dilithiumv,200.0,7.0,45789.0,22981.0,7.2,0.000114905,2.034
